pkt_rate,pkt_delay,byte_rate,last_pkt,fid,num_pkt,first_pkt,des_add,pkt_in,duration_1,byte_count,duration_2,pkt_out,pkt_sz,is_broadcast,label
279838.10888252145,3.5734947037531937e-06,11753200.573065901,1750263493.678271,-2090306548836280252,195327,1750263492.980271,10.0.0.17,195327,0.6980000000000001,8203734,0.6980000000000001,195327,42.0,0,icmp_fl
0,0.0,0,1750263495.672774,-2090306548836280252,185343,1750263495.672774,10.0.0.17,185343,0.0,7784406,0.0,185343,42.0,0,icmp_fl
0,0.0,0,1750263496.074874,-2090306548836280252,190987,1750263496.074874,10.0.0.17,190987,0.0,8021454,0.0,190987,42.0,0,icmp_fl
23464875.0,4.261689013898433e-08,985524750.0,1750263496.153661,-2090306548836280252,187719,1750263496.145661,10.0.0.17,187719,0.008,7884198,0.008,187719,42.0,0,icmp_fl
516.1498187676199,0.0019374219725343319,21678.292388240036,1750263503.666301,-4184845446089494923,6408,1750263491.251301,10.0.0.255,6408,12.415,269136,12.415,6408,42.0,1,smurf
122518.79396984926,8.162013088751843e-06,5145789.346733669,1750263503.6771,-2090306548836280252,1219062,1750263493.7271,10.0.0.17,1219062,9.95,51200604,9.95,1219062,42.0,0,icmp_fl
519.1300845751108,0.0019262994569433668,21803.46355215465,1750263503.6771,-4184845446089494923,6445,1750263491.2621,10.0.0.255,6445,12.415,270690,12.415,6445,42.0,1,smurf
18646.475976818096,5.362943653499098e-05,783151.9910263601,1750263503.6771,-2090306548836280252,199480,1750263492.9791,10.0.0.17,199480,10.698,8378160,10.698,199480,42.0,0,icmp_fl
2036.5003417634996,0.0004910384641202927,85533.01435406698,1750263503.6771,5946401757452303268,14897,1750263496.3621,10.0.0.6,14897,7.315,625674,7.315,14897,42.0,0,icmp_fl
168.92740517457926,0.005919702602230483,7094.951017332329,1750263503.714277,-2090306548836280252,1345,1750263495.7522771,10.0.0.17,1345,7.962,56490,7.962,1345,42.0,0,icmp_fl
525.0906161900926,0.001904433195275349,22053.80587998389,1750263503.714277,-4184845446089494923,6519,1750263491.299277,10.0.0.255,6519,12.415,273798,12.415,6519,42.0,1,smurf
24396.597022394595,4.098932318642886e-05,1024657.074940573,1750263503.714277,-2090306548836280252,195002,1750263495.721277,10.0.0.17,195002,7.993,8190084,7.993,195002,42.0,0,icmp_fl
1938.1389931409344,0.0005159588675213675,81401.83771191924,1750263503.714277,5946401757452303268,14976,1750263495.987277,10.0.0.6,14976,7.727,628992,7.727,14976,42.0,0,icmp_fl
525.1329144514258,0.0019042797975149562,22055.582406959886,1750263503.737612,-4184845446089494923,6519,1750263491.323612,10.0.0.255,6519,12.414,273798,12.414,6519,42.0,1,smurf
25684.881124392487,3.893340970343512e-05,1078765.0072244846,1750263503.737612,-2090306548836280252,195539,1750263496.124612,10.0.0.17,195539,7.6129999999999995,8212638,7.6129999999999995,195539,42.0,0,icmp_fl
2028.9756495714869,0.0004928595373784781,85216.97728200245,1750263503.737612,5946401757452303268,14915,1750263496.386612,10.0.0.6,14915,7.351,626430,7.351,14915,42.0,0,icmp_fl
122346.6479325572,8.173497328273706e-06,5138559.213167403,1750263513.692469,-2090306548836280252,1219062,1750263503.728469,10.0.0.17,1219062,9.964,51200604,9.964,1219062,42.0,0,icmp_fl
4.014452027298273,0.24910000000000002,168.60698514652748,1750263513.692469,5946401757452303268,40,1750263503.728469,10.0.0.6,40,9.964,1680,9.964,40,42.0,0,icmp_fl
755.5832924709134,0.001323480825958702,31734.49828377836,1750263513.692469,-4184845446089494923,16950,1750263491.2594688,10.0.0.255,16950,22.433,711900,22.433,16950,42.0,1,smurf
9629.27206024329,0.00010385001002606778,404429.42653021816,1750263513.692469,-2090306548836280252,199480,1750263492.9764688,10.0.0.17,199480,20.716,8378160,20.716,199480,42.0,0,icmp_fl
861.7088790169042,0.0011604847348687733,36191.772918709976,1750263513.692469,5946401757452303268,14936,1750263496.359469,10.0.0.6,14936,17.333,627312,17.333,14936,42.0,0,icmp_fl
135.65305093292992,0.00737174721189591,5697.428139183056,1750263513.728478,-2090306548836280252,1345,1750263503.813478,10.0.0.17,1345,9.915,56490,9.915,1345,42.0,0,icmp_fl
1052.8492183560263,0.0009498036210364977,44219.66717095311,1750263513.728478,5946401757452303268,10439,1750263503.813478,10.0.0.6,10439,9.915,438438,9.915,10439,42.0,0,icmp_fl
759.3542344913704,0.0013169084395372058,31892.877848637556,1750263513.728478,-4184845446089494923,17027,1750263491.3054779,10.0.0.255,17027,22.423000000000002,715134,22.423000000000002,17027,42.0,1,smurf
10832.842619854451,9.231187372437206e-05,454979.390033887,1750263513.728478,-2090306548836280252,195002,1750263495.727478,10.0.0.17,195002,18.001,8190084,18.001,195002,42.0,0,icmp_fl
848.4352974344516,0.0011786402605170466,35634.28249224697,1750263513.728478,5946401757452303268,15047,1750263495.993478,10.0.0.6,15047,17.735,631974,17.735,15047,42.0,0,icmp_fl
759.3542344913704,0.0013169084395372058,31892.877848637556,1750263513.757982,-4184845446089494923,17027,1750263491.334982,10.0.0.255,17027,22.423000000000002,715134,22.423000000000002,17027,42.0,1,smurf
11096.300079446148,9.012012948823509e-05,466044.6033367382,1750263513.757982,-2090306548836280252,195539,1750263496.135982,10.0.0.17,195539,17.622,8212638,17.622,195539,42.0,0,icmp_fl
