pkt_rate,pkt_delay,byte_rate,last_pkt,fid,num_pkt,first_pkt,des_add,pkt_in,duration_1,num_byte,duration_2,pkt_out,pkt_sz,is_broadcast,label
0.6598482349059716,1.5155,102.93632464533157,1750038103.819077,-3218369692165765859,2,1750038100.788077,10.0.0.2,2,3.031,312,3.031,2,156.0,0,1
0.6596306068601583,1.516,102.9023746701847,1750038103.819166,-3218369692165765859,2,1750038100.7871659,10.0.0.2,2,3.032,312,3.032,2,156.0,0,1
0.6872852233676976,1.455,96.21993127147766,1750038113.819327,1961880849659428861,4,1750038107.9993272,10.0.0.18,4,5.82,560,5.82,4,140.0,0,1
0.1534683855125844,6.516,23.941068139963168,1750038113.828723,-3218369692165765859,2,1750038100.796723,10.0.0.2,2,13.032,312,13.032,2,156.0,0,1
0.6870491240123668,1.4555,96.18687736173136,1750038113.828723,1961880849659428861,4,1750038108.006723,10.0.0.18,4,5.822,560,5.822,4,140.0,0,1
0.15345661014348194,6.5165,23.939231182383182,1750038113.82962,-3218369692165765859,2,1750038100.79662,10.0.0.2,2,13.033,312,13.033,2,156.0,0,1
0.3024193548387097,3.3066666666666666,48.689516129032256,1750038113.82962,-5901785639359439301,3,1750038103.9096198,10.0.0.6,3,9.92,483,9.92,3,161.0,0,1
0.6870491240123668,1.4555,96.18687736173136,1750038113.82962,1961880849659428861,4,1750038108.0076199,10.0.0.18,4,5.822,560,5.822,4,140.0,0,1
0.6872852233676976,1.455,96.21993127147766,1750038113.829855,1961880849659428861,4,1750038108.009855,10.0.0.18,4,5.82,560,5.82,4,140.0,0,1
0.6874033339061695,1.45475,96.23646674686373,1750038113.829979,1961880849659428861,4,1750038108.010979,10.0.0.18,4,5.819,560,5.819,4,140.0,0,1
0.3023888720895071,3.307,48.684608406410646,1750038113.830089,-5901785639359439301,3,1750038103.909089,10.0.0.6,3,9.921,483,9.921,3,161.0,0,1
0.6871671534100671,1.45525,96.20340147740939,1750038113.830089,1961880849659428861,4,1750038108.009089,10.0.0.18,4,5.821,560,5.821,4,140.0,0,1
0.2528125395019593,3.9555,35.393755530274305,1750038123.821514,1961880849659428861,4,1750038107.9995139,10.0.0.18,4,15.822,560,15.822,4,140.0,0,1
0.25282851905694964,3.95525,35.39599266797295,1750038123.82706,1961880849659428861,4,1750038108.00606,10.0.0.18,4,15.821,560,15.821,4,140.0,0,1
0.15057973196807709,6.641000000000001,24.24333684686041,1750038123.827121,-5901785639359439301,3,1750038103.904121,10.0.0.6,3,19.923000000000002,483,19.923000000000002,3,161.0,0,1
0.25279656196675726,3.95575,35.39151867534601,1750038123.827121,1961880849659428861,4,1750038108.004121,10.0.0.18,4,15.823,560,15.823,4,140.0,0,1
0.2811094452773613,3.5573333333333337,40.479760119940025,1750038123.827121,-3583278057547580138,3,1750038113.155121,10.0.0.7,3,10.672,432,10.672,3,144.0,0,1
0.4592071024031838,2.1776666666666666,75.30996479412215,1750038123.827121,3925886181579375956,3,1750038117.294121,10.0.0.4,3,6.533,492,6.533,3,164.0,0,1
0.8237232289950577,1.214,126.85337726523888,1750038123.827121,-9187708900461643877,2,1750038121.399121,10.0.0.9,2,2.428,308,2.428,2,154.0,0,1
0.15058729043268748,6.640666666666667,24.244553759662683,1750038123.827258,-5901785639359439301,3,1750038103.9052582,10.0.0.6,3,19.922,483,19.922,3,161.0,0,1
0.2527805864509606,3.956,35.38928210313448,1750038123.827258,1961880849659428861,4,1750038108.0032582,10.0.0.18,4,15.824,560,15.824,4,140.0,0,1
0.281083106905275,3.5576666666666665,40.4759673943596,1750038123.827258,-3583278057547580138,3,1750038113.154258,10.0.0.7,3,10.673,432,10.673,3,144.0,0,1
0.4592071024031838,2.1776666666666666,75.30996479412215,1750038123.827258,3925886181579375956,3,1750038117.294258,10.0.0.4,3,6.533,492,6.533,3,164.0,0,1
0.8233841086867023,1.2145000000000001,126.80115273775215,1750038123.827258,-9187708900461643877,2,1750038121.3982582,10.0.0.9,2,2.4290000000000003,308,2.4290000000000003,2,154.0,0,1
0.2527805864509606,3.956,35.38928210313448,1750038123.827353,1961880849659428861,4,1750038108.003353,10.0.0.18,4,15.824,560,15.824,4,140.0,0,1
0.2528125395019593,3.9555,35.393755530274305,1750038123.827406,1961880849659428861,4,1750038108.005406,10.0.0.18,4,15.822,560,15.822,4,140.0,0,1
0.7225433526011561,1.3840000000000001,120.66473988439306,1750038133.821867,4685811267150029738,3,1750038129.669867,10.0.0.3,3,4.152,501,4.152,3,167.0,0,1
0.7223693715386469,1.3843333333333332,120.63568504695402,1750038133.825811,4685811267150029738,3,1750038129.6728108,10.0.0.3,3,4.153,501,4.153,3,167.0,0,1
0.14510979974847635,6.891333333333333,20.895811163780593,1750038133.825884,-3583278057547580138,3,1750038113.151884,10.0.0.7,3,20.674,432,20.674,3,144.0,0,1
0.18144429660094352,5.511333333333333,29.75686464255474,1750038133.825884,3925886181579375956,3,1750038117.2918842,10.0.0.4,3,16.534,492,16.534,3,164.0,0,1
0.24135156878519712,4.1433333333333335,37.16814159292036,1750038133.825884,-9187708900461643877,3,1750038121.395884,10.0.0.9,3,12.43,462,12.43,3,154.0,0,1
0.7227174174897616,1.3836666666666666,120.69380872079017,1750038133.825884,4685811267150029738,3,1750038129.674884,10.0.0.3,3,4.151,501,4.151,3,167.0,0,1
0.7223693715386469,1.3843333333333332,120.63568504695402,1750038133.82598,4685811267150029738,3,1750038129.6729798,10.0.0.3,3,4.153,501,4.153,3,167.0,0,1
